title,authors,venue,year,cited_by,cited_by_url,details_url
"Yes, bm25 is a strong baseline for legal case retrieval","GM Rosa, RC Rodrigues, R Lotufo, R Nogueira","arXiv preprint arXiv:2105.05686 , 2021",2021,78,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8787972900867177116,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:IjCSPb-OGe4C
To tune or not to tune? zero-shot models for legal case entailment,"GM Rosa, RC Rodrigues, R de Alencar Lotufo, R Nogueira","Proceedings of the Eighteenth International Conference on Artificial … , 2021",2021,23,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=407132380569734478,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:UeHWp8X0CEIC
Multilingual Transformer Ensembles for Portuguese Natural Language Tasks,"RC Rodrigues, J Rodrigues, PVQ de Castro, NFF da Silva, A Soares",,,18,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9377375406596040790,8493448620609873133",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:qjMakFHDy7sC
Portuguese language models and word embeddings: evaluating on semantic similarity tasks,"RC Rodrigues, J Rodrigues, PVQ de Castro, NFF da Silva, A Soares","International conference on computational processing of the portuguese … , 2020",2020,14,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8180774061098799936,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:u-x6o8ySG0sC
Deep learning brasil at absapt 2022: Portuguese transformer ensemble approaches,"JRS Gomes, EAS Garcia, AFB Junior, RC Rodrigues, DFC Silva, DF Maia, ...","arXiv preprint arXiv:2311.05051 , 2023",2023,8,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12713864973031518378,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:LkGwnXOMwfcC
Zero-shot hashtag segmentation for multilingual sentiment analysis,"RC Rodrigues, MA Inuzuka, JRSA Gomes, AS Rocha, I Calixto, ...","arXiv preprint arXiv:2112.03213 , 2021",2021,5,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16700883336005881445,13930935658026760714",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:Y0pCki6q_DkC
Domain adaptation of transformers for english word segmentation,"RC Rodrigues, AS Rocha, MA Inuzuka, HAD do Nascimento","Brazilian Conference on Intelligent Systems, 483-496 , 2020",2020,4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1908850205166855657,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:9yKSN-GCB0IC
Lessons learned from the evaluation of Portuguese language models,R Chaves Rodrigues,"University of Malta , 2023",2023,2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10471599553835090903,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:hqOjcs7Dif8C
Deep Learning Brasil at ABSAPT 2022: Portuguese Transformer Ensemble Approaches,"J Resplande Santanna Gomes, EA Santos Garcia, ...","arXiv e-prints, arXiv: 2311.05051 , 2023",2023,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:5nxA0vEk-isC
Construção de Datasets para Segmentação Automática de Hashtags,"J Resplande, RC Rodrigues, MA Inuzuka, AS Rocha, ...","XV Encontro Anual de Ciência da Computação (EnAComp 2020) , 2020",2020,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:2osOgNQ5qMEC
eplm,"R Chaves Rodrigues, M Tanti, R Agerri","Zenodo , 0",,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=3JDK8KEAAAAJ&citation_for_view=3JDK8KEAAAAJ:0EnyYjriUFMC
